Shoulder_to_wrist_cm,Waist_to_floor_cm
49,104
53,102
51,100
54,110
60,110
59,108
60,105
53,100
51,105
57,107
52,100
52,104
57,117
53,106
60,105
52,97
55,105
54,102
51,95
54,100
49,97
48,97
55,94
50,110
57,105
55,108
57,104
67,129
54,103
60,116
58,104
59,97
48,96
63,116
64,103
57,116
68,107
55,89
53,98
54,100
58,100
52,110
54,109
55,115
54,111
58,110
50,94
53,106
49,100
62,103
52,107
48,110
53,111
52,107
57,118
50,103
58,123
52,102
51,105
56,106
45,104
50,100
50,105
58,106
53,102
63,108
59,105
56,97
59,116
55,107
53,104
62,105
54,111
57,114
50,98
61,118
52,91
60,117
58,118
50,97
58,113
57,111
55,105
58,114
64,119
61,111
52,101
51,105
54,108
53,108
60,111
63,115
57,103
59,109
61,114
53,101
54,102
53,101
54,102
57,111
60,104
59,115
52,107
55,105
56,100
63,105
59,103
58,106
57,108
52,95
57,108
59,116
57,115
55,104
52,102
51,107
49,95
51,100
58,110
51,110
57,101
50,104
52,104
54,105
59,106
57,118
52,101
53,112
55,112
61,108
59,103
62,110
64,107
54,99
56,111
54,98
67,117
57,107
70,120
63,119
58,100
61,101
50,100
55,103
55,103
58,95
60,104
55,92
50,100
52,96
48,100
57,97
50,130
54,100
60,106
60,106
55,87
50,80
52,93
61,106
50,101
59,115
50,90
65,80
60,105
80,121
57,105
53,99
53,104
52,99
50,93
54,90
53,94
53,103
51,94
68,110
54,108
63,109
56,108
58,104
54,109
57,110
54,104
54,104
52,104
53,105
50,97
58,99
60,102
53,102
55,107
58,114
54,102
56,114
57,110
55,106
60,110
55,109
58,99
57,108
52,103
52,101
56,116
58,109
58,113
57,110
60,108
63,115
63,110
56,100
61,103
59,102
63,118
62,106
64,117
61,109
58,105
63,116
62,116
56,105
54,100
52,99
47,97
55,96
61,111
56,99
57,97
58,101
59,108
50,94
61,113
61,106
64,114
63,116
54,107
61,115
52,105
58,110
60,111
62,106
61,110
59,107
58,105
56,113
55,115
55,114
61,118
62,118
56,107
54,111
55,109
59,117
56,106
50,100
69,102
69,101
69,98
64,101
57,97
53,107
58,101
60,106
64,108
61,100
58,100
59,104
57,107
70,112
75,110
56,90
72,96
72,105
74,96
69,114
55,93
64,93
60,93
51,84
56,93
46,84
59,94
61,91
61,98
77,100
59,102
84,106
52,97
73,102
57,99
75,95
58,92
59,94
66,89
62,92
64,100
61,97
64,92
66,106
69,94
59,92
49,85
60,95
59,91
54,90
64,100
51,90
76,84
55,100
56,100
73,102
60,108
49,96
77,102
55,99
52,96
85,108
80,106
78,103
56,104
74,98
55,97
67,110
54,103
61,105
55,96
53,107
60,112
58,107
57,95
59,107
53,96
60,107
56,100
56,102
53,90
65,113
66,110
58,96
58,104
59,98
58,106
62,117
55,102
60,105
58,104
56,106
67,108
52,101
67,109
49,88
59,105
62,104
69,111
61,104
58,99
63,113
59,110
69,118
65,115
63,106
64,102
61,97
70,110
60,108
63,108
59,102
59,100
57,100
59,96
56,109
54,99
53,95
66,109
66,106
51,111
47,103
65,107
44,102
50,113
64,101
57,100
64,112
55,100
53,100
45,93
54,101
66,112
52,98
56,98
48,78
59,94
60,100
64,117
61,104
56,94
64,107
58,98
51,91
64,114
58,110
51,98
57,93
50,105
47,72
58,71
53,98
56,97
59,86
54,112
64,84
62,97
52,107
54,106
59,100
64,108
59,100
61,112
58,103
58,102
61,105
60,112
54,100
59,100
56,102
52,93
52,100
60,105
58,110
57,105
65,123
56,102
57,105
59,103
 56, 107
 54, 97
 70, 97
 57, 98
 53, 107
 52, 99
 53, 95
62, 143
 61, 101
 59, 117
 68,100
 54,97
 54,105
 57, 98
 80, 102
 75, 108
 69, 111
 57, 100
 53, 93
 53, 103
 56, 100
 81, 105
 55, 104
 63, 110
 53, 100
 70, 114
 49, 97
54,95
52,94
50,100
46,103
53,110
60,110
56,112
55,107
56,95
56,111
47,105
55,102
55,106
53,99
53,105
54,107
56,103
53,99
52,98
49,105
50,98
46,96
53,105
60,93
53,84
58,104
56,94
59,104
60,94
54,84
56,100
60,98
60,91
56,93
63,112
63,110
58,102
64,104
56,100
56,91
